,0
816,8966220b3b7ffff
817,8966220b3d3ffff
818,89662209413ffff
819,8966220b267ffff
820,8966220948bffff
821,8966220b377ffff
822,8966220b37bffff
823,896622095d3ffff
824,8966220b3cfffff
825,89662209663ffff
826,8966220966fffff
827,8966220b367ffff
828,8966220b16bffff
829,8966220b20bffff
830,8966220b243ffff
831,896622096b3ffff
832,89662254827ffff
833,8966225491bffff
834,89662209473ffff
835,8966225498fffff
836,89662254d6bffff
837,89662209673ffff
838,8966220b22bffff
839,89662209667ffff
840,8966220b227ffff
841,896622549b7ffff
842,89662254b93ffff
843,8966220b30bffff
844,89662254d2bffff
845,8966220b22fffff
846,8966220b31bffff
847,89662209477ffff
848,8966220960fffff
849,8966220b387ffff
850,896622549a7ffff
851,896622096a3ffff
852,8966220b3a7ffff
853,89662254937ffff
854,8966220b207ffff
855,8966220b32fffff
856,89662209497ffff
857,896622096afffff
858,896622549cbffff
859,89662209463ffff
860,896622549d3ffff
861,8966220b25bffff
862,89662254d27ffff
863,89662209687ffff
864,896622548a7ffff
865,89662209603ffff
866,896622094dbffff
867,8966220b313ffff
868,8966220940bffff
869,8966220b36bffff
870,8966225495bffff
871,8966220b2a7ffff
872,8966220947bffff
873,8966220b14bffff
874,896622096a7ffff
875,8966220b34bffff
876,89662254993ffff
877,896622549abffff
878,89662254987ffff
879,89662254983ffff
880,8966225499bffff
881,8966220b3a3ffff
882,8966220b3c3ffff
883,89662254997ffff
884,8966220b28fffff
885,8966220865bffff
886,8966220b2a3ffff
887,8966220b3dbffff
888,8966220b30fffff
889,8966220b3bbffff
890,8966220b3abffff
891,8966220b2b7ffff
892,8966220b3d7ffff
893,89662209677ffff
894,896622549bbffff
895,89662209633ffff
896,8966220b36fffff
897,89662209607ffff
898,896622549a3ffff
899,8966220944fffff
900,89662209453ffff
901,8966220b343ffff
902,8966220b3afffff
903,8966220b257ffff
904,896622549c3ffff
905,8966220b2afffff
906,89662254903ffff
907,89662209423ffff
908,896622549dbffff
909,896622549cfffff
910,8966220948fffff
911,8966220b26bffff
912,896622094abffff
913,89662209403ffff
914,89662256b5bffff
915,8966220b093ffff
916,8966220b477ffff
917,89662256b63ffff
918,89662256b4bffff
919,89662256863ffff
920,8966220b017ffff
921,8966220b03bffff
922,89662256907ffff
923,8966220b503ffff
924,89662256bbbffff
925,8966220b107ffff
926,8966220b0a3ffff
927,89662256a77ffff
928,8966220b6c3ffff
929,89662256c07ffff
930,89662256a2bffff
931,8966220b563ffff
932,8966220b543ffff
933,89662254c37ffff
934,8966220b6cfffff
935,8966220b1b3ffff
936,8966220a257ffff
937,89662256923ffff
938,8966225694bffff
939,89662254c0bffff
940,896622569cfffff
941,89662256a13ffff
942,89662219263ffff
943,89662256867ffff
944,896622568cbffff
945,8966220b6b7ffff
946,89662256ba7ffff
947,89662254c9bffff
948,8966220b147ffff
949,8966220b18fffff
950,8966220b013ffff
951,8966220b437ffff
952,89662256b0bffff
953,8966225681bffff
954,8966220b627ffff
955,8966220b183ffff
956,89662256b73ffff
957,89662256a37ffff
958,89662256953ffff
959,8966220b65bffff
960,89662256887ffff
961,89662256893ffff
962,89662254c23ffff
963,8966225685bffff
964,8966220b197ffff
965,8966220b287ffff
966,8966220b08bffff
967,89662256e2fffff
968,8966220b0c7ffff
969,8966221926fffff
970,8966220b6a7ffff
971,89662256cd7ffff
972,89662256b6bffff
973,8966220b62fffff
974,8966220b05bffff
975,8966220b547ffff
976,89662256873ffff
977,8966220b51bffff
978,89662256963ffff
979,89662254cafffff
980,8966220b607ffff
981,8966220b40fffff
982,8966220b1cbffff
983,89662256c13ffff
984,89662254cc7ffff
985,8966220b43bffff
986,89662256967ffff
987,8966220b283ffff
988,89662256a67ffff
989,89662254c0fffff
990,8966220b6b3ffff
991,89662254c33ffff
992,89662256b6fffff
993,89662256aabffff
994,89662256abbffff
995,8966220b54bffff
996,8966220b0bbffff
997,8966220b0b3ffff
998,8966220b47bffff
999,8966225686bffff
1000,89662254cbbffff
1001,89662256bdbffff
1002,89662254c73ffff
1003,8966225696fffff
1004,89662256bd3ffff
1005,89662256a87ffff
1006,89662256807ffff
1007,8966220b46fffff
1008,89662256c6fffff
1009,8966220b043ffff
1010,8966225689bffff
1011,8966220b52bffff
1012,89662254c83ffff
1013,89662256a93ffff
1014,89662256bcfffff
1015,89662256877ffff
1016,8966220b54fffff
1017,8966220b6a3ffff
1018,8966220b00fffff
1019,8966220b557ffff
1020,89662256823ffff
1021,89662254c97ffff
1022,8966220b1c7ffff
1023,89662254c2bffff
1024,8966220b42bffff
1025,8966220b037ffff
1026,89662254c8fffff
1027,8966220b007ffff
1028,8966220b00bffff
1029,8966220b56bffff
1030,89662256e27ffff
1031,8966225688fffff
1032,8966220b003ffff
1033,89662256a83ffff
1034,89662256803ffff
1035,8966220b473ffff
1036,8966220b293ffff
1037,8966220b463ffff
1038,89662256bafffff
1039,8966220b153ffff
1040,8966220b52fffff
1041,896622568afffff
1042,8966225696bffff
1043,896622569dbffff
1044,89662254c93ffff
1045,89662254893ffff
1046,8966220b577ffff
1047,8966220b02fffff
1048,89662256bb7ffff
1049,896622568bbffff
1050,8966220b077ffff
1051,89662254d9bffff
1052,8966220b0cbffff
1053,89662256c9bffff
1054,8966220b173ffff
1055,89662256b9bffff
1056,8966225682bffff
1057,896622569c3ffff
1058,8966220b523ffff
1059,8966220b0abffff
1060,89662256b83ffff
1061,89662256b17ffff
1062,8966220b0dbffff
1063,8966220b633ffff
1064,8966220b423ffff
1065,8966220b6bbffff
1066,89662256a97ffff
1067,8966220b0d7ffff
1068,8966220b453ffff
1069,896622568a7ffff
1070,8966225690fffff
1071,89662256b07ffff
1072,89662256c3bffff
1073,89662256a23ffff
1074,8966220a243ffff
1075,8966225682fffff
1076,8966220b15bffff
1077,89662256817ffff
1078,8966220b1d7ffff
1079,89662256843ffff
1080,89662256b43ffff
1081,89662256ba3ffff
1082,8966220b63bffff
1083,8966220b157ffff
1084,8966220b01bffff
1085,89662219257ffff
1086,8966220a253ffff
1087,8966220b637ffff
1088,8966220b56fffff
1089,89662256b1bffff
1090,8966225697bffff
1091,8966220a24bffff
1092,8966220b09bffff
1093,89662254d93ffff
1094,89662256b03ffff
1095,8966220b6afffff
1096,89662256b97ffff
1097,89662256aafffff
1098,8966220b4cfffff
1099,89662256b37ffff
1100,8966220b10fffff
1101,89662256bb3ffff
1102,89662256b2fffff
1103,89662256c8bffff
1104,8966220b1dbffff
1105,8966220b097ffff
1106,89662254dd7ffff
1107,8966220b45bffff
1108,8966220b44bffff
1109,8966220b50fffff
1110,8966220b68bffff
1111,89662256b33ffff
1112,89662256b77ffff
1113,89662256a0fffff
1114,8966225686fffff
1115,8966220b653ffff
1116,89662254c13ffff
1117,89662256a2fffff
1118,8966220b023ffff
1119,89662254ca3ffff
1120,89662256847ffff
1121,8966220b19bffff
1122,8966225688bffff
1123,8966220b297ffff
1124,89662256b93ffff
1125,8966220b11bffff
1126,89662256c2fffff
1127,8966220b117ffff
1128,89662256ab3ffff
1129,8966225684fffff
1130,896622568b3ffff
1131,8966220a2cfffff
1132,89662256a33ffff
