id,source_country,source_client,lat,lng
34006,COLOMBIA,Client,4.6384481,-74.0701528
16547,COLOMBIA,Client,6.2956771,-75.5846155
7126,COLOMBIA,Client,4.7561617,-74.0968095
31585,COLOMBIA,Client,4.7284759,-74.0907793
38504,COLOMBIA,Client,10.9606632,-74.8726512
20634,COLOMBIA,Client,4.5677249,-74.2276953
10945,COLOMBIA,Client,3.4534026,-76.5587992
11150,COLOMBIA,Client,4.7229816,-74.0699723
20361,COLOMBIA,Client,10.9523326,-74.7912198
26487,COLOMBIA,Client,4.7517076,-74.119971
16458,COLOMBIA,Client,6.2587284,-75.6139209
6857,COLOMBIA,Client,7.1257217,-73.123784
8200,COLOMBIA,Client,4.5643617,-74.1461251
37376,COLOMBIA,Client,7.1232917,-73.1321053
825,COLOMBIA,Client,4.7389941,-74.0280775
24488,COLOMBIA,Client,4.6510191,-74.1394436
36158,COLOMBIA,Client,4.5963504,-74.1042252
35780,COLOMBIA,Client,6.2363621,-75.5524837
6250,COLOMBIA,Client,4.7131908,-74.0597018
11395,COLOMBIA,Client,4.5919785,-74.1946477
17112,COLOMBIA,Client,6.2937637,-75.5726661
17303,COLOMBIA,Client,6.2773705,-75.5777586
6962,COLOMBIA,Client,4.6640797,-74.0612942
11759,COLOMBIA,Client,4.7242935,-74.0301855
1901,COLOMBIA,Client,7.1299483,-73.1224802
16247,COLOMBIA,Client,4.526752,-74.0884693
30287,COLOMBIA,Client,4.9973306,-74.3398998
10706,COLOMBIA,Client,4.6052733,-74.0918558
323,COLOMBIA,Client,4.7034288,-74.1181336
36871,COLOMBIA,Client,3.6473319,-76.6900021
38366,COLOMBIA,Client,10.7969854,-74.922179
17343,COLOMBIA,Client,6.3104698,-75.5788873
9368,COLOMBIA,Client,6.9872215,-73.0521349
19732,COLOMBIA,Client,3.4077376,-76.5386721
24135,COLOMBIA,Client,4.5860246,-74.1550829
22369,COLOMBIA,Client,4.7399552,-74.0933441
16941,COLOMBIA,Client,6.2533147,-75.5665498
21488,COLOMBIA,Client,4.7120661,-74.0975499
10651,COLOMBIA,Client,3.4796086,-76.4849239
37493,COLOMBIA,Client,7.0004163,-73.0605864
14330,COLOMBIA,Client,4.6579625,-74.0488782
10256,COLOMBIA,Client,4.6131166,-74.210542
17576,COLOMBIA,Client,4.5749748,-74.1233123
38233,COLOMBIA,Client,10.9440211,-74.8190695
27804,COLOMBIA,Client,7.1225663,-73.1214353
23191,COLOMBIA,Client,10.9923767,-74.8379839
19508,COLOMBIA,Client,4.5723552,-74.1676769
26965,COLOMBIA,Client,3.5804831,-76.4925984
1624,COLOMBIA,Client,4.614855,-74.1968057
24804,COLOMBIA,Client,4.6101503,-74.1661482
7177,COLOMBIA,Client,4.669839,-74.1434682
35320,COLOMBIA,Client,4.6789508,-74.0474083
33811,COLOMBIA,Client,10.9261557,-74.7957796
36452,COLOMBIA,Client,4.6786249,-74.1592163
33688,COLOMBIA,Client,10.9769806,-74.7763139
12813,COLOMBIA,Client,4.7196313,-74.1219283
37109,COLOMBIA,Client,4.6703006,-74.1467201
33994,COLOMBIA,Client,6.1702703,-75.5840613
31385,COLOMBIA,Client,3.446485,-76.4866429
24319,COLOMBIA,Client,4.6089886,-74.1913273
23463,COLOMBIA,Client,4.7457715,-74.1227261
19480,COLOMBIA,Client,6.2170869,-75.6040191
10100,COLOMBIA,Client,4.6100436,-74.1190855
18157,COLOMBIA,Client,6.3141578,-75.5759272
