,RAZAO SOCIAL,CNPJ,ENDEREÇO,lat,lng,CIDADE,weight
4128,DECORGLASS VIDROS E DECORACAO LTDA,10614888000106,"RUA DO INDUSTRIARIO  387 , EMBU DAS ARTES",-23.6369193,-46.8375696,EMBU DAS ARTES,4
4130,JUSSARA GONCALVES DE SANTANA,10622797000112,"ESTRADA DO CAMPO LIMPO  436 , ITAQUAQUECETUBA",-23.4728911,-46.3188605,ITAQUAQUECETUBA,4
4131,KRUNGER COMERCIO DE MADEIRAS LTDA,10623143000103,"RUA ANTONIO SALIM HISSA FILHO  116 , SAO PAULO",-23.76363,-46.6947252,SAO PAULO,4
4133,"CAMORA SERVICE  COMERCIO DE MATERIAIS ELETRICOS, HIDRAULICOS E PRESTACAO DE SERVICOS, EQUIPAMENTOS, PROJETOS DE SISTEMAS LTDA",10623831000173,"RUA CERQUILHO  150 , SANTANA DE PARNAIBA",-23.4061235,-46.8738946,SANTANA DE PARNAIBA,4
4134,ECCOGLASS ENVIDRACAMENTOS EIRELI,10626421000186,"AVENIDA AUREA  670 , SANTO ANDRE",-23.6895058,-46.5153577,SANTO ANDRE,4
4135,BAIGAN METAIS SANITARIOS LTDA,10627608000102,"RUA ARMENIA  370 , OSASCO",-23.5260715,-46.7673652,OSASCO,3
4136,PELLICCI E OLIVEIRA MATERIAIS DE CONSTRUCAO LTDA,10627979000186,"AVENIDA JARDIM JAPAO  1070 , SAO PAULO",-23.4810344,-46.5809483,SAO PAULO,2
4137,ADILSON VIDROS E DECORACOES LTDA,10632033000108,"RUA MANUEL GALVAO  25 , SAO PAULO",-23.5617581,-46.5756957,SAO PAULO,1
4138,BALI WELDING  ACESSORIOS PARA SOLDAS ESPECIAIS LTDA,10634023000101,"RUA FRANCISCO BARROSO PEREIRA  371 , SAO PAULO",-23.4888625,-46.4825505,SAO PAULO,3
4139,CRIL TINTAS E CONSTRUCOES LTDA,10634150000100,"AVENIDA RUI BARBOSA  1208 , CARAPICUIBA",-23.5209129,-46.8415004,CARAPICUIBA,4
4140,VALERIA SILVA ARRABAL MONTEIRO,10634850000103,"RUA DAS JABUTICABEIRAS  466 , DIADEMA",-23.6690535,-46.6009586,DIADEMA,3
4141,M R BRASIL COMERCIO DE FERRAGENS EIRELI,10635489000121,"RUA ALVARENGA PEIXOTO  243 , SAO PAULO",-23.5135335,-46.7188054,SAO PAULO,2
4142,SAMFORTE MATERIAIS PARA CONSTRUCAO LTDA,10637912000122,"RUA EURIDES FERNANDES DO NASCIMENTO  106 , SAO PAULO",-23.4967419,-46.4071326,SAO PAULO,4
4143,UNIAO CERAMICAS COMERCIO E TRANSPORTE DE BLOCOS LTDA,10640562000153,"RUA GUATEMALA  108 , SANTO ANDRE",-23.6358155,-46.5183491,SANTO ANDRE,3
4144,SERRALHERIA L M SANTOS LTDA,10641356000168,"RUA CABO FRIO  8 , SAO PAULO",-23.5565496,-46.4153373,SAO PAULO,4
4145,RE FUNGARO  FERRAMENTAS LTDA,10645631000111,"AVENIDA ANTONIO MARQUES FIGUEIRA  1870 , SUZANO",-23.5520852,-46.3076719,SUZANO,4
4146,TROPIKAL LTDA,10646563000105,"AVENIDA DAS PALMEIRAS (P IPES II)  703 , CAJAMAR",-23.4041966,-46.8627586,CAJAMAR,4
4147,LAGEADO COMERCIO DE FERRO E ACO LTDA,10646765000157,"ESTRADA DO LAGEADO VELHO  251 , SAO PAULO",-23.5377643,-46.4063736,SAO PAULO,4
4148,SBG CONSERVADORA DE BOMBAS LTDA,10647126000106,"RUA HONORATO PEREIRA  562 , SAO PAULO",-23.4270532,-46.7967224,SAO PAULO,3
4149,BIOPAR COMERCIO DE FERRAMENTAS E FERRAGENS LTDA,10648097000105,"AVENIDA PROFESSOR FRANCISCO MORATO  3977 , SAO PAULO",-23.5936509,-46.7345367,SAO PAULO,2
4150,RYOTEC ELETRO MECANICA E MEDICAO LTDA,10650451000128,"RUA BENEDITO CONRADO FILHO  221 , SAO BERNARDO DO CAMPO",-23.702139,-46.574258,SAO BERNARDO DO CAMPO,3
