,source_country,macrozone,microzone,r8_h3
327,COLOMBIA,Cartagena,Cartagena,8866312a4bfffff
328,COLOMBIA,Cartagena,Cartagena,8866313893fffff
329,COLOMBIA,Cartagena,Cartagena,8866312ae3fffff
330,COLOMBIA,Cartagena,Cartagena,8866312163fffff
331,COLOMBIA,Cartagena,Cartagena,8866312ac5fffff
332,COLOMBIA,Cartagena,Cartagena,8866312169fffff
333,COLOMBIA,Cartagena,Cartagena,8866312a31fffff
334,COLOMBIA,Cartagena,Cartagena,8866312a19fffff
335,COLOMBIA,Cartagena,Cartagena,8866312aa9fffff
336,COLOMBIA,Cartagena,Cartagena,8866312a59fffff
337,COLOMBIA,Cartagena,Cartagena,88663138bbfffff
338,COLOMBIA,Cartagena,Cartagena,8866312a39fffff
339,COLOMBIA,Cartagena,Cartagena,8866312ae9fffff
340,COLOMBIA,Cartagena,Cartagena,8866312aebfffff
341,COLOMBIA,Cartagena,Cartagena,8866312a55fffff
342,COLOMBIA,Cartagena,Cartagena,8866312a3bfffff
343,COLOMBIA,Cartagena,Cartagena,8866312165fffff
344,COLOMBIA,Cartagena,Cartagena,8866312a1bfffff
345,COLOMBIA,Cartagena,Cartagena,8866312a17fffff
346,COLOMBIA,Cartagena,Cartagena,8866313897fffff
347,COLOMBIA,Cartagena,Cartagena,8866312a1dfffff
348,COLOMBIA,Cartagena,Cartagena,8866312a53fffff
349,COLOMBIA,Cartagena,Cartagena,8866312aa7fffff
350,COLOMBIA,Cartagena,Cartagena,8866312105fffff
351,COLOMBIA,Cartagena,Cartagena,8866312a57fffff
352,COLOMBIA,Cartagena,Cartagena,8866313a57fffff
353,COLOMBIA,Cartagena,Cartagena,8866313ae1fffff
354,COLOMBIA,Cartagena,Cartagena,88663106b3fffff
355,COLOMBIA,Cartagena,Cartagena,8866313165fffff
356,COLOMBIA,Cartagena,Cartagena,88663104a1fffff
357,COLOMBIA,Cartagena,Cartagena,8866313105fffff
358,COLOMBIA,Cartagena,Cartagena,8866310493fffff
359,COLOMBIA,Cartagena,Cartagena,88663104b7fffff
360,COLOMBIA,Cartagena,Cartagena,88663131a5fffff
361,COLOMBIA,Cartagena,Cartagena,8866313131fffff
362,COLOMBIA,Cartagena,Cartagena,8866310491fffff
363,COLOMBIA,Cartagena,Cartagena,8866313339fffff
364,COLOMBIA,Cartagena,Cartagena,886631334bfffff
365,COLOMBIA,Cartagena,Cartagena,8866313111fffff
366,COLOMBIA,Cartagena,Cartagena,8866313ad9fffff
367,COLOMBIA,Cartagena,Cartagena,8866313127fffff
368,COLOMBIA,Cartagena,Cartagena,8866313ae9fffff
369,COLOMBIA,Cartagena,Cartagena,8866313345fffff
370,COLOMBIA,Cartagena,Cartagena,8866313335fffff
371,COLOMBIA,Cartagena,Cartagena,8866313a07fffff
372,COLOMBIA,Cartagena,Cartagena,8866313a11fffff
373,COLOMBIA,Cartagena,Cartagena,8866313169fffff
374,COLOMBIA,Cartagena,Cartagena,8866313ad7fffff
375,COLOMBIA,Cartagena,Cartagena,88663131a7fffff
376,COLOMBIA,Cartagena,Cartagena,88663104e3fffff
377,COLOMBIA,Cartagena,Cartagena,8866313301fffff
378,COLOMBIA,Cartagena,Cartagena,886631049dfffff
379,COLOMBIA,Cartagena,Cartagena,88663104a3fffff
380,COLOMBIA,Cartagena,Cartagena,88663131e9fffff
381,COLOMBIA,Cartagena,Cartagena,8866313ac7fffff
382,COLOMBIA,Cartagena,Cartagena,8866313ae7fffff
383,COLOMBIA,Cartagena,Cartagena,886631333dfffff
384,COLOMBIA,Cartagena,Cartagena,8866310497fffff
385,COLOMBIA,Cartagena,Cartagena,886631316dfffff
386,COLOMBIA,Cartagena,Cartagena,8866313a53fffff
387,COLOMBIA,Cartagena,Cartagena,88663104e7fffff
388,COLOMBIA,Cartagena,Cartagena,88663104c7fffff
389,COLOMBIA,Cartagena,Cartagena,8866313337fffff
390,COLOMBIA,Cartagena,Cartagena,886631336bfffff
391,COLOMBIA,Cartagena,Cartagena,8866313305fffff
392,COLOMBIA,Cartagena,Cartagena,8866313a91fffff
393,COLOMBIA,Cartagena,Cartagena,8866313145fffff
394,COLOMBIA,Cartagena,Cartagena,8866313ac1fffff
395,COLOMBIA,Cartagena,Cartagena,8866313355fffff
396,COLOMBIA,Cartagena,Cartagena,8866313129fffff
397,COLOMBIA,Cartagena,Cartagena,8866313113fffff
398,COLOMBIA,Cartagena,Cartagena,8866313153fffff
399,COLOMBIA,Cartagena,Cartagena,8866313303fffff
400,COLOMBIA,Cartagena,Cartagena,886631316bfffff
401,COLOMBIA,Cartagena,Cartagena,8866313157fffff
402,COLOMBIA,Cartagena,Cartagena,8866313a13fffff
403,COLOMBIA,Cartagena,Cartagena,8866313a1bfffff
404,COLOMBIA,Cartagena,Cartagena,8866313109fffff
405,COLOMBIA,Cartagena,Cartagena,8866313adbfffff
406,COLOMBIA,Cartagena,Cartagena,8866313a5bfffff
